Date,CO
2017-06-16,0.36952380952380953
2017-07-01,0.40380952380952384
2017-07-16,0.325
2017-08-01,0.308
2017-08-16,0.32410714285714287
2017-09-01,0.35317460317460314
2017-09-16,0.28
2017-10-01,0.28190476190476194
2017-10-16,0.3388764880952381
2017-11-01,0.38337301587301587
2017-11-16,0.40084656084656084
2017-12-01,0.4185185185185185
2017-12-16,0.5001736111111111
2018-01-01,0.3837962962962963
2018-01-16,0.33315972222222223
2018-02-01,0.5061243386243386
2018-02-16,0.4419871794871795
2018-03-01,0.504074074074074
2018-03-16,0.49444444444444446
2018-04-01,0.46222222222222226
2018-04-16,0.4725925925925926
2018-05-01,0.4189814814814815
2018-05-16,0.41475694444444444
2018-06-01,0.4081481481481482
2018-06-16,0.3835185185185185
2018-07-01,0.3861111111111111
2018-07-16,0.4361111111111111
2018-08-01,0.46370370370370373
2018-08-16,0.47135416666666663
2018-09-01,0.49768518518518523
2018-09-16,0.5700925925925926
2018-10-01,0.48740740740740746
2018-10-16,0.4876736111111111
2018-11-01,0.522962962962963
2018-11-16,0.5514814814814815
2018-12-01,0.43309259259259253
2018-12-16,0.5078125
2019-01-01,0.4291111111111111
2019-01-16,0.5210416666666666
2019-02-01,0.4166666666666667
2019-02-16,0.40403846153846157
2019-03-01,0.4186666666666667
2019-03-16,0.4225
2019-04-01,0.4108148148148148
2019-04-16,0.3154814814814815
2019-05-01,0.38999999999999996
2019-05-16,0.4773611111111111
2019-06-01,0.3893333333333333
2019-06-16,0.4036666666666667
2019-07-01,0.39740740740740743
2019-07-16,0.39937500000000004
2019-08-01,0.4071111111111111
2019-08-16,0.41805555555555557
2019-09-01,0.3953333333333333
2019-09-16,0.4393333333333333
2019-10-01,0.4314074074074074
2019-10-16,0.44506944444444446
2019-11-01,0.4872592592592593
2019-11-16,0.4399814814814815
2019-12-01,0.43666666666666665
2019-12-16,0.46243055555555557
2020-01-01,0.444
2020-01-16,0.441875
2020-02-01,0.4499259259259259
2020-02-16,0.445
2020-03-01,0.444
2020-03-16,0.343125
2020-04-01,0.28985185185185186
2020-04-16,0.34488888888888886
2020-05-01,0.36592592592592593
2020-05-16,0.415
2020-06-01,0.398
2020-06-16,0.38733333333333336
2020-07-01,0.3393333333333333
2020-07-16,0.349375
2020-08-01,0.3813333333333333
2020-08-16,0.4181944444444444
2020-09-01,0.5086666666666667
2020-09-16,0.3764444444444444
2020-10-01,0.41733333333333333
2020-10-16,0.5387500000000001
2020-11-01,0.5466666666666667
2020-11-16,0.4663888888888889
2020-12-01,0.5477592592592593
2020-12-16,0.4820138888888889
2021-01-01,0.5206666666666667
2021-01-16,0.45625000000000004
2021-02-01,0.5270370370370371
2021-02-16,0.4253846153846154
2021-03-01,0.47414814814814815
2021-03-16,0.42493055555555553
2021-04-01,0.41874074074074075
2021-04-16,0.49600000000000005
2021-05-01,0.444
2021-05-16,0.39125
2021-06-01,0.348
2021-06-16,0.3333333333333333
2021-07-01,0.39414814814814814
2021-07-16,0.4076388888888889
2021-08-01,0.4612592592592593
2021-08-16,0.405
2021-09-01,0.3561481481481481
2021-09-16,0.37733333333333335
2021-10-01,0.4673333333333334
2021-10-16,0.44958333333333333
2021-11-01,0.4428518518518519
2021-11-16,0.5701481481481482
2021-12-01,0.5800000000000001
2021-12-16,0.47465277777777776
2022-01-01,0.5025185185185185
2022-01-16,0.4332638888888889
2022-02-01,0.4940740740740741
2022-02-16,0.43196581196581196
2022-03-01,0.37866666666666665
2022-03-16,0.426875
2022-04-01,0.46572222222222226
2022-04-16,0.43866666666666665
2022-05-01,0.3403703703703703
2022-05-16,0.35006944444444443
2022-06-01,0.2753333333333333
2022-06-16,0.2905185185185185
2022-07-01,0.3862962962962963
2022-07-16,0.400625
2022-08-01,0.4412592592592592
2022-08-16,0.443125
2022-09-01,0.45466666666666666
2022-09-16,0.442
2022-10-01,0.40755555555555556
2022-10-16,0.474375
2022-11-01,0.4643703703703704
2022-11-16,0.4362962962962963
2022-12-01,0.6188148148148148
2022-12-16,0.44625
2023-01-01,0.4275555555555555
2023-01-16,0.561875
2023-02-01,0.39266666666666666
2023-02-16,0.5053846153846154
2023-03-01,0.45133333333333336
2023-03-16,0.45611111111111113
2023-04-01,0.39355555555555555
2023-04-16,0.4033333333333333
2023-05-01,0.4086666666666667
2023-05-16,0.336875
2023-06-01,0.3805925925925926
2023-06-16,0.37533333333333335
2023-07-01,0.3893333333333333
2023-07-16,0.3761805555555556
2023-08-01,0.3253333333333333
2023-08-16,0.3426388888888889
2023-09-01,0.39585185185185184
2023-09-16,0.4243703703703704
2023-10-01,0.4206666666666667
2023-10-16,0.48118055555555556
2023-11-01,0.4733333333333334
2023-11-16,0.372962962962963
2023-12-01,0.5166666666666667
2023-12-16,0.5175
2024-01-01,0.5906666666666667
2024-01-16,0.523125
2024-02-01,0.5526666666666666
2024-02-16,0.5123809523809524
2024-03-01,0.40599999999999997
2024-03-16,0.401875
2024-04-01,0.39466666666666667
2024-04-16,0.388
2024-05-01,0.3475555555555555
2024-05-16,0.3989583333333333
2024-06-01,0.42962962962962964
2024-06-16,0.41237037037037033
2024-07-01,0.4122962962962963
2024-07-16,0.46319444444444446
2024-08-01,0.45583333333333337
2024-08-16,0.5311383928571428
2024-09-01,0.4765740740740741
2024-09-16,0.44333333333333336
2024-10-01,0.3931111111111111
2024-10-16,0.44805555555555554
2024-11-01,0.47044444444444444
2024-11-16,0.5154814814814815
2024-12-01,0.6642222222222223
2024-12-16,0.6013888888888889
2025-01-01,0.6513333333333333
2025-01-16,0.578
